
 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.
  For example, the following props contain divergent data at the upper RPM limits:
      11x8     (highest RPM)
      22x11E   (2 highest RPM's')


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
     17000        67        0.77    0.2550
     18000        71        0.77    0.3020
     19000        75        0.78    0.3580
     20000        78        0.78    0.4200
     21000        82        0.78    0.4920
     22000        86        0.78    0.5750
     23000        90        0.78    0.6730
     24000        90        0.77    0.8760
     25000        93        0.76    1.0430
     26000        96        0.73    1.3130
     26999       100        0.68    1.6960
     28000       100        0.67    2.0390
     29000       107        0.62    2.3270
 


           ========== 78x6 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.81    0.0000
      2000        12        0.81    0.0010
      3000        18        0.81    0.0030
      4000        24        0.81    0.0070
      5000        31        0.81    0.0130
      6000        37        0.81    0.0230
      7000        43        0.81    0.0360
      8000        49        0.81    0.0540
      9000        55        0.82    0.0770
     10000        62        0.82    0.1050
     11000        71        0.83    0.1210
     12000        77        0.84    0.1560
     13000        84        0.85    0.1980
     13999        90        0.85    0.2470
     15000        97        0.86    0.3040
     16000       103        0.86    0.3740
     17000       109        0.87    0.4500
     18000       116        0.87    0.5400
     19000       122        0.87    0.6410
     20000       129        0.87    0.7580
     21000       141        0.88    0.7520
     22000       141        0.88    1.0510
     23000       148        0.88    1.2370
     24000       154        0.87    1.4780
     28000       171        0.72    4.0110
     29000       173        0.69    4.5530
 


           ========== 78x6C ==========

       RPM       VMPH       EFF      HP
      1000         6        0.81    0.0000
      2000        12        0.81    0.0010
      3000        18        0.81    0.0030
      4000        24        0.81    0.0070
      5000        31        0.81    0.0130
      6000        37        0.81    0.0230
      7000        43        0.81    0.0360
      8000        49        0.81    0.0540
      9000        55        0.82    0.0770
     10000        62        0.82    0.1050
     11000        71        0.83    0.1210
     12000        77        0.84    0.1560
     13000        84        0.85    0.1980
     13999        90        0.85    0.2470
     15000        97        0.86    0.3040
     16000       103        0.86    0.3740
     17000       109        0.87    0.4500
     18000       116        0.87    0.5400
     19000       122        0.87    0.6410
     20000       129        0.87    0.7580
     21000       141        0.88    0.7520
     22000       141        0.88    1.0510
     23000       148        0.88    1.2370
     24000       154        0.87    1.4780
     28000       171        0.72    4.0110
     29000       173        0.69    4.5530
 


           ========== 78x7 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.84    0.0000
      2000        13        0.84    0.0010
      3000        20        0.84    0.0030
      4000        27        0.84    0.0080
      5000        34        0.84    0.0160
      6000        41        0.84    0.0270
      7000        48        0.84    0.0430
      8000        55        0.84    0.0640
      9000        61        0.84    0.0920
     10000        68        0.85    0.1250
     11000        75        0.85    0.1660
     12000        82        0.86    0.2150
     13000        89        0.86    0.2730
     13999        96        0.87    0.3420
     15000       103        0.87    0.4240
     16000       109        0.87    0.5190
     17000       116        0.87    0.6290
     18000       123        0.87    0.7550
     19000       130        0.88    0.8990
     20000       143        0.88    0.9340
     21000       149        0.88    1.1030
     22000       156        0.88    1.2960
     26999       184        0.78    4.2580
     28000       201        0.76    4.2830
     29000       210        0.72    4.6890
     30000       219        0.68    4.5590
 


           ========== 78x7C ==========

       RPM       VMPH       EFF      HP
      1000         6        0.84    0.0000
      2000        13        0.84    0.0010
      3000        20        0.84    0.0030
      4000        27        0.84    0.0080
      5000        34        0.84    0.0160
      6000        41        0.84    0.0270
      7000        48        0.84    0.0430
      8000        55        0.84    0.0640
      9000        61        0.84    0.0920
     10000        68        0.85    0.1250
     11000        75        0.85    0.1660
     12000        82        0.86    0.2150
     13000        89        0.86    0.2730
     13999        96        0.87    0.3420
     15000       103        0.87    0.4240
     16000       109        0.87    0.5190
     17000       116        0.87    0.6290
     18000       123        0.87    0.7550
     19000       130        0.88    0.8990
     20000       143        0.88    0.9340
     21000       149        0.88    1.1030
     22000       156        0.88    1.2960
     26999       184        0.78    4.2580
     28000       201        0.76    4.2830
     29000       210        0.72    4.6890
     30000       219        0.68    4.5590
 


           ========== 7x10 ==========

       RPM       VMPH       EFF      HP
      1000         9        0.90    0.0000
      2000        18        0.90    0.0010
      3000        27        0.90    0.0030
      4000        36        0.90    0.0070
      5000        45        0.90    0.0140
      6000        55        0.90    0.0240
      7000        64        0.90    0.0380
      8000        73        0.90    0.0570
      9000        82        0.90    0.0820
     10000        91        0.90    0.1120
     11000       100        0.91    0.1490
     12000       109        0.91    0.1930
     13000       118        0.91    0.2450
     13999       128        0.92    0.3070
     15000       137        0.92    0.3800
     16000       146        0.92    0.4640
     17000       155        0.92    0.5610
     18000       171        0.92    0.5650
     19000       181        0.92    0.6730
     20000       190        0.92    0.7950
     24000       228        0.92    1.5040
     29000       264        0.85    4.3550
 


           ========== 7x3 ==========

       RPM       VMPH       EFF      HP
      1000         2        0.60    0.0000
      2000         5        0.61    0.0000
      3000         8        0.61    0.0010
      4000        11        0.61    0.0020
      5000        14        0.61    0.0030
      6000        17        0.61    0.0060
      7000        19        0.61    0.0090
      8000        22        0.61    0.0140
      9000        25        0.61    0.0200
     10000        28        0.61    0.0270
     11000        31        0.62    0.0350
     12000        34        0.64    0.0450
     13000        37        0.65    0.0560
     13999        39        0.66    0.0690
     15000        42        0.67    0.0840
     16000        45        0.68    0.1010
     17000        48        0.69    0.1200
     18000        51        0.69    0.1420
     19000        54        0.70    0.1670
     20000        56        0.71    0.1940
     21000        59        0.71    0.2240
     22000        62        0.72    0.2580
     23000        65        0.72    0.2950
     24000        68        0.73    0.3370
     25000        71        0.73    0.3840
     26000        74        0.74    0.4350
     26999        80        0.74    0.4480
     28000        79        0.73    0.5840
     29000        82        0.70    0.7120
     30000        85        0.67    0.8340
     31000        88        0.63    1.0370
     32000        87        0.61    1.2660
     33000        88        0.55    1.5620
     34000        86        0.53    1.7500
 


           ========== 7x38WSF ==========

       RPM       VMPH       EFF      HP
      4000        17        0.69    0.0050
      5000        21        0.69    0.0090
      6000        25        0.69    0.0150
      7000        29        0.71    0.0240
      8000        33        0.72    0.0350
      9000        38        0.73    0.0480
     10000        42        0.74    0.0650
     11000        47        0.75    0.0850
     12000        51        0.76    0.1100
     13000        56        0.77    0.1390
     13999        60        0.77    0.1750
     15000        64        0.78    0.2150
     16000        69        0.78    0.2600
     17000        74        0.78    0.3070
 


           ========== 7x4 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.73    0.0000
      2000         7        0.73    0.0000
      3000        11        0.73    0.0010
      4000        15        0.73    0.0030
      5000        19        0.73    0.0060
      6000        23        0.73    0.0100
      7000        27        0.73    0.0160
      8000        31        0.73    0.0240
      9000        35        0.73    0.0340
     10000        39        0.74    0.0460
     11000        43        0.75    0.0600
     12000        47        0.76    0.0770
     13000        51        0.76    0.0970
     13999        58        0.77    0.1090
     15000        62        0.78    0.1330
     16000        66        0.79    0.1610
     17000        70        0.79    0.1940
     18000        74        0.80    0.2300
     19000        78        0.80    0.2720
     20000        82        0.81    0.3180
     21000        86        0.81    0.3690
     22000        91        0.81    0.4270
     23000        95        0.82    0.4910
     24000        99        0.82    0.5630
     25000       107        0.82    0.5660
     26000       111        0.83    0.6470
     26999       115        0.83    0.7420
     28000       119        0.83    0.8530
     29000       123        0.82    0.9980
     30000       122        0.76    1.4890
     31000       126        0.71    1.8780
     32000       132        0.70    2.0260
     34000       133        0.62    2.8440
 


           ========== 7x41SF ==========

       RPM       VMPH       EFF      HP
      1000         4        0.71    0.0000
      2000         8        0.71    0.0010
      3000        12        0.71    0.0020
      4000        16        0.71    0.0040
      5000        22        0.71    0.0080
      6000        24        0.72    0.0140
      7000        28        0.72    0.0220
      8000        32        0.71    0.0320
      9000        35        0.71    0.0470
     10000        39        0.71    0.0640
     11000        43        0.69    0.0810
     12000        48        0.70    0.1060
     13000        52        0.71    0.1340
     14000        56        0.71    0.1680
 


           ========== 7x4E ==========

       RPM       VMPH       EFF      HP
      1000         4        0.72    0.0000
      2000         8        0.72    0.0000
      3000        12        0.72    0.0010
      4000        16        0.72    0.0030
      5000        20        0.72    0.0060
      6000        25        0.72    0.0100
      7000        29        0.72    0.0150
      8000        33        0.72    0.0230
      9000        37        0.72    0.0320
     10000        41        0.73    0.0440
     11000        45        0.74    0.0580
     12000        50        0.75    0.0740
     13000        54        0.76    0.0940
     13999        58        0.77    0.1170
     15000        62        0.78    0.1420
     16000        66        0.78    0.1720
     17000        70        0.79    0.2070
     18000        74        0.79    0.2450
     19000        79        0.80    0.2880
     20000        83        0.80    0.3370
     21000        91        0.81    0.3420
     22000        95        0.81    0.3950
     23000        99        0.82    0.4530
     24000       104        0.82    0.5180
     25000       108        0.83    0.5920
     26000       112        0.83    0.6740
     26999       116        0.83    0.7720
     28000       120        0.83    0.8890
     29000       124        0.80    1.0590
     30000       129        0.79    1.2240
     33000       129        0.70    2.3620
     34000       126        0.68    2.8850
 


           ========== 7x4F ==========

       RPM       VMPH       EFF      HP
      1000         3        0.70    0.0000
      2000         7        0.70    0.0000
      3000        11        0.70    0.0010
      4000        15        0.70    0.0020
      5000        19        0.70    0.0040
      6000        23        0.70    0.0070
      7000        27        0.70    0.0110
      8000        31        0.70    0.0160
      9000        34        0.70    0.0230
     10000        38        0.70    0.0320
     11000        42        0.70    0.0430
     12000        46        0.71    0.0560
     13000        50        0.72    0.0710
     13999        54        0.73    0.0870
     15000        58        0.74    0.1070
     16000        61        0.75    0.1290
     17000        65        0.76    0.1540
     18000        69        0.77    0.1820
     19000        73        0.77    0.2140
     20000        80        0.78    0.2270
     21000        84        0.78    0.2640
     22000        88        0.79    0.3060
     23000        92        0.79    0.3520
     24000        96        0.80    0.4040
     25000       100        0.80    0.4650
     26000       104        0.81    0.5310
     26999       113        0.81    0.5370
     28000       112        0.81    0.7010
     29000       121        0.80    0.7420
     30000       125        0.78    0.8960
     31000       124        0.74    1.2600
     32000       128        0.71    1.4370
     33000       125        0.69    1.7660
     34000       127        0.66    1.9140
 


           ========== 7x4SF ==========

       RPM       VMPH       EFF      HP
      3000        13        0.74    0.0020
      4000        18        0.73    0.0040
      5000        22        0.73    0.0070
      6000        26        0.73    0.0110
      7000        31        0.73    0.0170
      8000        34        0.73    0.0280
      9000        39        0.73    0.0390
     10000        44        0.74    0.0520
     11000        48        0.75    0.0680
     12000        53        0.76    0.0870
     13000        57        0.77    0.1140
     13999        61        0.78    0.1450
     15000        66        0.78    0.1770
     16000        70        0.79    0.2190
     17000        74        0.79    0.2640
     18000        79        0.79    0.3060
     19000        86        0.80    0.3300
     20000        91        0.80    0.3850
     21000        92        0.81    0.4860
     22000        97        0.81    0.5660
     23000       102        0.81    0.6420
     24000       110        0.81    0.6790
     25000       110        0.81    0.8420
     26000       120        0.81    0.8410
     26999       125        0.81    0.9680
 


           ========== 7x5 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.78    0.0000
      2000        10        0.78    0.0000
      3000        15        0.78    0.0010
      4000        20        0.78    0.0030
      5000        25        0.78    0.0070
      6000        29        0.78    0.0120
      7000        34        0.78    0.0190
      8000        39        0.78    0.0280
      9000        44        0.78    0.0400
     10000        49        0.79    0.0550
     11000        54        0.79    0.0720
     12000        59        0.80    0.0930
     13000        64        0.81    0.1170
     13999        69        0.82    0.1450
     15000        74        0.82    0.1780
     16000        79        0.83    0.2160
     17000        84        0.84    0.2600
     18000        89        0.84    0.3100
     19000        94        0.84    0.3660
     20000        99        0.84    0.4290
     21000       104        0.85    0.5010
     22000       114        0.85    0.5090
     23000       119        0.85    0.5880
     24000       124        0.86    0.6780
     25000       129        0.86    0.7810
     26000       134        0.86    0.9010
     26999       140        0.85    1.0610
     30000       149        0.76    2.1460
 


           ========== 7x5E ==========

       RPM       VMPH       EFF      HP
      1000         5        0.78    0.0000
      2000        10        0.78    0.0000
      3000        15        0.78    0.0020
      4000        20        0.78    0.0040
      5000        25        0.78    0.0070
      6000        30        0.78    0.0130
      7000        35        0.78    0.0200
      8000        40        0.78    0.0300
      9000        45        0.78    0.0430
     10000        50        0.79    0.0580
     11000        57        0.80    0.0680
     12000        62        0.80    0.0870
     13000        67        0.81    0.1100
     13999        72        0.82    0.1370
     15000        78        0.83    0.1680
     16000        83        0.83    0.2040
     17000        88        0.83    0.2450
     18000        93        0.84    0.2900
     19000        98        0.84    0.3430
     20000       104        0.85    0.4010
     21000       109        0.85    0.4660
     22000       114        0.85    0.5390
     23000       119        0.86    0.6210
     24000       124        0.86    0.7130
     25000       135        0.86    0.6860
     26000       140        0.86    0.7860
     26999       145        0.86    0.9050
     28000       144        0.86    1.2350
     29000       155        0.84    1.2470
     33000       161        0.75    2.8770
     35000       162        0.71    3.9730
 


           ========== 7x5SF ==========

       RPM       VMPH       EFF      HP
      2000        10        0.79    0.0010
      3000        16        0.78    0.0020
      4000        21        0.78    0.0040
      5000        26        0.78    0.0080
      6000        31        0.78    0.0140
      7000        37        0.78    0.0220
      8000        43        0.78    0.0330
      9000        48        0.78    0.0460
     10000        54        0.79    0.0630
     11000        60        0.80    0.0820
     12000        65        0.81    0.1040
     19000       104        0.84    0.4190
     20000       109        0.84    0.4900
 


           ========== 7x6 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.82    0.0000
      2000        11        0.82    0.0010
      3000        17        0.82    0.0020
      4000        23        0.82    0.0040
      5000        29        0.82    0.0090
      6000        34        0.82    0.0150
      7000        40        0.82    0.0240
      8000        46        0.82    0.0350
      9000        52        0.82    0.0510
     10000        60        0.83    0.0610
     11000        66        0.83    0.0800
     12000        72        0.84    0.1040
     13000        78        0.85    0.1310
     13999        84        0.85    0.1630
     15000        90        0.86    0.2010
     16000        97        0.87    0.2430
     17000       103        0.87    0.2930
     18000       109        0.87    0.3480
     19000       115        0.87    0.4140
     20000       121        0.88    0.4870
     21000       127        0.88    0.5690
     22000       133        0.88    0.6610
     23000       139        0.88    0.7650
     24000       145        0.88    0.8840
     25000       157        0.89    0.8630
     26000       156        0.88    1.1860
     26999       169        0.87    1.1910
     28000       168        0.85    1.7040
     29000       174        0.82    2.0770
 


           ========== 7x65D ==========

       RPM       VMPH       EFF      HP
      2000        12        0.76    0.0010
      3000        18        0.76    0.0050
      4000        24        0.76    0.0110
      5000        30        0.76    0.0220
      6000        37        0.76    0.0370
      7000        45        0.77    0.0540
      8000        51        0.78    0.0790
      9000        58        0.78    0.1100
     10000        65        0.79    0.1490
     11000        68        0.79    0.2140
     12000        75        0.79    0.2770
     13000        81        0.79    0.3510
     14000        92        0.79    0.4030
     15000        98        0.80    0.5000
     16000       105        0.80    0.6120
     17000       112        0.80    0.7320
     18000       119        0.80    0.8700
     19000       125        0.80    1.0350
     20000       132        0.80    1.2130
     21000       138        0.80    1.4340
     22000       145        0.80    1.6570
     23000       146        0.80    2.0540
     24000       159        0.80    2.2100
     25000       167        0.80    2.5080
     26000       174        0.80    2.8870
     27000       181        0.80    3.2940
     28000       178        0.79    4.2210
     29000       193        0.79    4.5670
 


           ========== 7x6E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.82    0.0000
      2000        12        0.82    0.0010
      3000        18        0.82    0.0020
      4000        24        0.82    0.0040
      5000        30        0.82    0.0080
      6000        36        0.82    0.0140
      7000        42        0.82    0.0230
      8000        48        0.82    0.0340
      9000        54        0.82    0.0480
     10000        60        0.83    0.0650
     11000        66        0.84    0.0860
     12000        72        0.84    0.1120
     13000        78        0.85    0.1420
     13999        84        0.85    0.1760
     15000        90        0.86    0.2170
     16000        97        0.86    0.2640
     17000       103        0.87    0.3170
     18000       109        0.87    0.3770
     19000       119        0.87    0.3730
     20000       126        0.88    0.4370
     21000       132        0.88    0.5090
     22000       138        0.88    0.5890
     23000       145        0.88    0.6800
     24000       151        0.89    0.7830
     25000       157        0.89    0.9010
     26000       163        0.89    1.0370
     26999       169        0.89    1.1970
     28000       174        0.88    1.4160
     32000       191        0.80    3.0340
 


           ========== 7x6F ==========

       RPM       VMPH       EFF      HP
      1000         5        0.80    0.0000
      2000        11        0.80    0.0000
      3000        16        0.80    0.0010
      4000        22        0.80    0.0030
      5000        28        0.80    0.0060
      6000        33        0.80    0.0110
      7000        39        0.80    0.0170
      8000        45        0.80    0.0250
      9000        50        0.80    0.0360
     10000        56        0.80    0.0500
     11000        62        0.80    0.0670
     12000        67        0.81    0.0860
     13000        73        0.82    0.1090
     14000        78        0.83    0.1360
     15000        84        0.83    0.1670
     16000        90        0.84    0.2030
     17000        95        0.85    0.2430
     18000       101        0.85    0.2900
     19000       107        0.85    0.3430
     20000       117        0.86    0.3530
     21000       123        0.86    0.4130
     22000       129        0.86    0.4790
     23000       135        0.87    0.5560
     24000       141        0.87    0.6440
     25000       146        0.87    0.7440
     26000       158        0.88    0.7260
     27000       164        0.88    0.8420
     28000       170        0.88    0.9930
     29000       176        0.86    1.2060
     30000       182        0.83    1.5290
     31000       181        0.80    2.0390
     32000       185        0.78    2.3140
     33000       189        0.77    2.5420
 


           ========== 7x6SF ==========

       RPM       VMPH       EFF      HP
      2000        13        0.83    0.0010
      3000        20        0.83    0.0020
      4000        27        0.83    0.0050
      5000        33        0.82    0.0100
      6000        40        0.82    0.0170
      7000        46        0.82    0.0260
      8000        53        0.82    0.0390
      9000        60        0.83    0.0550
     10000        67        0.83    0.0740
     11000        73        0.84    0.0990
     12000        80        0.85    0.1270
     13000        87        0.85    0.1610
     13999        93        0.86    0.2010
     15000       100        0.86    0.2450
     16000       107        0.87    0.2960
     17000       115        0.87    0.3500
     18000       122        0.87    0.4160
     19000       129        0.87    0.4840
     20000       137        0.88    0.5660
     21000       137        0.87    0.7700
     22000       144        0.87    0.8910
     23000       149        0.87    1.0600
     24000       156        0.86    1.2310
     25000       162        0.86    1.4480
     26999       163        0.84    2.2770
 


           ========== 7x6W ==========

       RPM       VMPH       EFF      HP
      1000         5        0.78    0.0000
      2000        11        0.78    0.0010
      3000        16        0.78    0.0020
      4000        22        0.78    0.0050
      5000        28        0.78    0.0090
      6000        33        0.78    0.0160
      7000        39        0.78    0.0250
      8000        44        0.79    0.0370
      9000        50        0.80    0.0520
     10000        56        0.81    0.0710
     11000        61        0.81    0.0940
     12000        67        0.82    0.1210
     13000        72        0.83    0.1540
     13999        78        0.83    0.1920
     15000        83        0.84    0.2360
     16000        89        0.84    0.2870
     17000        99        0.84    0.3030
     18000       104        0.85    0.3610
     19000       110        0.85    0.4260
     20000       116        0.85    0.5000
     21000       122        0.86    0.5820
     22000       128        0.86    0.6750
     23000       133        0.86    0.7810
     24000       139        0.87    0.8980
     25000       145        0.87    1.0330
     26000       151        0.87    1.1850
     26999       156        0.87    1.3730
     30000       180        0.79    2.0720
     31000       178        0.79    2.7950
     32000       182        0.76    3.2020
     34000       169        0.70    5.0740
 


           ========== 7x7 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.84    0.0000
      2000        13        0.84    0.0010
      3000        20        0.84    0.0020
      4000        26        0.84    0.0040
      5000        33        0.84    0.0090
      6000        40        0.84    0.0150
      7000        46        0.84    0.0240
      8000        53        0.84    0.0360
      9000        60        0.84    0.0520
     10000        67        0.85    0.0710
     11000        73        0.86    0.0930
     12000        80        0.86    0.1210
     13000        87        0.87    0.1530
     13999        93        0.87    0.1900
     15000       100        0.88    0.2340
     16000       107        0.88    0.2850
     17000       113        0.89    0.3430
     18000       120        0.89    0.4100
     19000       132        0.89    0.4070
     20000       139        0.89    0.4790
     21000       146        0.90    0.5600
     22000       153        0.90    0.6510
     23000       160        0.90    0.7550
     24000       167        0.90    0.8730
     25000       173        0.90    1.0140
     26000       180        0.90    1.1820
     26999       187        0.89    1.4220
     28000       194        0.87    1.7500
     31000       206        0.80    3.1550
 


           ========== 7x7E ==========

       RPM       VMPH       EFF      HP
      1000         6        0.78    0.0000
      2000        11        0.78    0.0010
      3000        18        0.78    0.0030
      4000        23        0.78    0.0070
      5000        31        0.78    0.0130
      6000        37        0.78    0.0230
      7000        43        0.78    0.0370
      8000        50        0.78    0.0550
      9000        56        0.79    0.0780
     10000        62        0.80    0.1060
     11000        68        0.81    0.1400
     12000        78        0.82    0.1640
     13000        85        0.82    0.2080
     14000        91        0.83    0.2600
     15000        98        0.84    0.3200
     16000       104        0.84    0.3870
     17000       111        0.84    0.4670
     18000       123        0.85    0.4900
     19000       129        0.85    0.5790
     20000       136        0.86    0.6800
     21000       143        0.86    0.7920
     22000       150        0.86    0.9200
     23000       157        0.86    1.0650
     24000       164        0.87    1.2280
     25000       170        0.87    1.4160
     26000       184        0.87    1.3880
     27000       191        0.87    1.5900
 


           ========== 7x8 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.88    0.0000
      2000        16        0.88    0.0010
      3000        25        0.88    0.0020
      4000        33        0.88    0.0050
      5000        41        0.88    0.0100
      6000        50        0.88    0.0170
      7000        58        0.88    0.0270
      8000        66        0.88    0.0400
      9000        75        0.89    0.0580
     10000        83        0.89    0.0780
     11000        91        0.90    0.1040
     12000       100        0.90    0.1350
     13000       108        0.90    0.1720
     13999       116        0.91    0.2140
     15000       125        0.91    0.2650
     16000       133        0.91    0.3220
     17000       141        0.91    0.3910
     18000       149        0.92    0.4680
     19000       158        0.92    0.5580
     20000       172        0.92    0.5210
     21000       181        0.92    0.6080
     23000       198        0.92    0.8370
     24000       198        0.92    1.2360
     25000       214        0.92    1.1520
 


           ========== 7x9 ==========

       RPM       VMPH       EFF      HP
      1000         8        0.89    0.0000
      2000        17        0.89    0.0010
      3000        26        0.89    0.0020
      4000        35        0.89    0.0050
      5000        44        0.89    0.0110
      6000        53        0.89    0.0180
      7000        62        0.89    0.0290
      8000        71        0.89    0.0430
      9000        79        0.90    0.0620
     10000        88        0.90    0.0840
     11000        97        0.91    0.1120
     12000       106        0.91    0.1450
     13000       115        0.91    0.1850
     13999       124        0.92    0.2310
     15000       132        0.92    0.2850
     16000       141        0.92    0.3480
     17000       150        0.92    0.4200
     18000       159        0.92    0.5030
     19000       174        0.93    0.4710
     20000       184        0.93    0.5570
     23000       211        0.93    0.8950
 


           ========== 85x55 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.78    0.0000
      2000        10        0.78    0.0010
      3000        16        0.78    0.0030
      4000        21        0.78    0.0070
      5000        26        0.78    0.0140
      6000        32        0.78    0.0250
      7000        37        0.78    0.0400
      8000        43        0.78    0.0600
      9000        48        0.78    0.0860
     10000        53        0.79    0.1170
     11000        59        0.80    0.1540
     12000        67        0.81    0.1800
     13000        72        0.82    0.2280
     13999        78        0.82    0.2840
     15000        84        0.83    0.3500
     16000        89        0.84    0.4280
     17000        95        0.84    0.5170
     18000       100        0.84    0.6200
     19000       106        0.85    0.7370
     20000       111        0.85    0.8740
     21000       122        0.85    0.9080
     22000       127        0.86    1.0770
     23000       133        0.86    1.2830
     24000       138        0.84    1.6060
     25000       138        0.79    2.5170
     26000       144        0.76    2.9620
     26999       150        0.72    3.3450
 


           ========== 85x70 ==========

       RPM       VMPH       EFF      HP
      1000         6        0.83    0.0000
      2000        13        0.83    0.0010
      3000        20        0.83    0.0040
      4000        27        0.83    0.0090
      5000        34        0.83    0.0180
      6000        41        0.83    0.0310
      7000        47        0.83    0.0490
      8000        54        0.83    0.0740
      9000        61        0.83    0.1060
     10000        68        0.84    0.1440
     11000        75        0.85    0.1910
     12000        82        0.85    0.2470
     13000        88        0.86    0.3150
     13999        99        0.87    0.3470
     15000       106        0.87    0.4290
     16000       113        0.87    0.5240
     17000       120        0.88    0.6360
     18000       128        0.88    0.7650
     19000       135        0.88    0.9120
     20000       142        0.88    1.0860
     21000       148        0.89    1.2960
     22000       155        0.89    1.5340
     23000       162        0.89    1.8620
     24000       176        0.87    1.9930
     26000       185        0.78    3.6640
     26999       182        0.76    4.6030
 


           ========== 85x725 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.84    0.0000
      2000        14        0.84    0.0010
      3000        21        0.84    0.0040
      4000        28        0.84    0.0100
      5000        35        0.84    0.0190
      6000        42        0.84    0.0320
      7000        49        0.84    0.0520
      8000        56        0.84    0.0770
      9000        63        0.84    0.1110
     10000        70        0.85    0.1510
     11000        77        0.85    0.2000
     12000        84        0.86    0.2600
     13000        91        0.87    0.3310
     13999       102        0.87    0.3650
     15000       110        0.88    0.4500
     16000       117        0.88    0.5510
     17000       124        0.88    0.6690
     18000       131        0.88    0.8050
     19000       139        0.89    0.9610
     20000       146        0.89    1.1440
     21000       153        0.89    1.3670
     22000       160        0.89    1.6240
     23000       167        0.89    1.9740
     25000       182        0.83    3.2920
     26000       190        0.79    3.8400
     26999       187        0.76    4.9090
 


           ========== 85x75 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.84    0.0000
      2000        14        0.84    0.0010
      3000        21        0.84    0.0040
      4000        29        0.84    0.0100
      5000        36        0.84    0.0200
      6000        43        0.84    0.0340
      7000        50        0.84    0.0540
      8000        58        0.84    0.0810
      9000        65        0.85    0.1160
     10000        72        0.85    0.1580
     11000        79        0.86    0.2100
     12000        86        0.87    0.2730
     13000        98        0.87    0.3040
     13999       105        0.88    0.3820
     15000       113        0.88    0.4720
     16000       120        0.88    0.5780
     17000       128        0.89    0.7030
     18000       135        0.89    0.8450
     19000       143        0.89    1.0100
     20000       150        0.89    1.2040
     21000       157        0.89    1.4360
     22000       165        0.89    1.7140
     23000       172        0.89    2.0920
     26999       203        0.76    4.6450
     28000       209        0.72    5.1960
 


           ========== 8625x375 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.70    0.0000
      2000         8        0.70    0.0010
      3000        12        0.70    0.0020
      4000        16        0.70    0.0050
      5000        20        0.70    0.0100
      6000        24        0.70    0.0180
      7000        28        0.70    0.0280
      8000        32        0.70    0.0430
      9000        36        0.70    0.0610
     10000        40        0.70    0.0840
     11000        46        0.72    0.1020
     12000        50        0.73    0.1310
     13000        54        0.74    0.1650
     13999        59        0.75    0.2050
     15000        63        0.76    0.2510
     16000        67        0.77    0.3050
     17000        72        0.78    0.3660
     18000        76        0.78    0.4390
     19000        80        0.79    0.5220
     20000        84        0.79    0.6180
     21000        88        0.79    0.7330
     22000        92        0.79    0.8870
     23000        97        0.74    1.1690
     24000       101        0.70    1.5240
     25000       105        0.65    1.9260
 


           ========== 875x50 ==========

       RPM       VMPH       EFF      HP
      1000         5        0.71    0.0000
      2000        10        0.71    0.0010
      3000        15        0.71    0.0040
      4000        20        0.71    0.0090
      5000        24        0.71    0.0190
      6000        29        0.72    0.0320
      7000        34        0.74    0.0490
      8000        39        0.75    0.0720
      9000        44        0.77    0.1020
     10000        49        0.78    0.1380
     11000        54        0.78    0.1840
     12000        59        0.79    0.2380
     13000        67        0.80    0.2730
     13999        73        0.80    0.3410
     15000        78        0.81    0.4210
     16000        83        0.81    0.5120
     17000        88        0.82    0.6190
     18000        93        0.82    0.7410
     19000        99        0.82    0.8850
     20000       104        0.82    1.0550
     21000       109        0.82    1.2590
     22000       114        0.80    1.5760
 


           ========== 875x70N ==========

       RPM       VMPH       EFF      HP
      1000         7        0.83    0.0000
      2000        14        0.83    0.0010
      3000        21        0.83    0.0050
      4000        29        0.83    0.0120
      5000        36        0.84    0.0230
      6000        43        0.84    0.0400
      7000        50        0.84    0.0640
      8000        58        0.84    0.0950
      9000        65        0.85    0.1350
     10000        72        0.85    0.1840
     11000        83        0.86    0.2150
     12000        90        0.87    0.2780
     13000        98        0.87    0.3530
     13999       106        0.88    0.4410
     15000       113        0.88    0.5480
     16000       121        0.88    0.6760
     17000       128        0.89    0.8230
     18000       135        0.89    0.9920
     19000       143        0.89    1.1930
     20000       150        0.89    1.4420
     21000       157        0.89    1.7450
